t,T,P,edge,bal,ela,area
281.0,1.6864186973698656,5.0,10650.0,-3548130.62548602,1114.1228261973906,18712659.96130597
282.0,2.128815829090926,5.0,10650.0,-8942690.955716442,1186.5419936558221,18712659.96130597
283.0,0.6343469685346852,5.0,10650.0,9220141.633317016,955.368642099173,18712659.96130597
284.0,1.8900362675641746,5.0,10650.0,-6066861.834434098,1149.3167548024308,18712659.96130597
285.0,1.1852446278991584,5.0,10650.0,2493859.6560438043,1039.5911620040313,18712659.96130597
286.0,0.9916436001246494,5.0,10650.0,4837381.996259768,1007.4126937820137,18712659.96130597
287.0,0.7274222559662755,5.0,10700.0,7942804.828167856,971.1900949773074,18742659.96130597
288.0,0.8962661800891043,5.0,10700.0,5880677.239918053,992.6843609739573,18742659.96130597
289.0,1.3563491324624293,5.0,10700.0,274420.66306037456,1072.5605061218691,18742659.96130597
290.0,1.5053817973600863,5.0,10700.0,-1540164.3247694634,1093.6518996866566,18742659.96130597
291.0,0.4586649608699469,5.0,10700.0,11212956.518073939,929.3084084209939,18742659.96130597
292.0,1.020162886968559,5.0,10700.0,4375584.100867816,1021.7255613599655,18742659.96130597
293.0,1.2993262799434282,5.0,10700.0,981216.3479479067,1062.2638250017394,18742659.96130597
294.0,1.8417497673437593,5.0,10700.0,-5619235.027401451,1144.8849275118557,18742659.96130597
295.0,1.731717999348425,5.0,10700.0,-4272391.709408918,1127.9006564490599,18742659.96130597
296.0,1.448280398969266,5.0,10700.0,-815878.4792698687,1082.9380672589143,18742659.96130597
297.0,1.866925976777197,5.0,10700.0,-5914584.381589118,1144.4367847838878,18742659.96130597
298.0,0.7420215189391675,5.0,10700.0,7789437.0045984695,972.1398197155697,18742659.96130597
299.0,0.8379886184111838,5.0,10700.0,6619774.562133096,988.2499123969862,18742659.96130597
300.0,2.4764691632912887,5.0,10700.0,-13339048.133175492,1241.1295994958978,18742659.96130597
301.0,0.09821715203367543,5.0,10700.0,15635855.579290519,876.6041654218061,18742659.96130597
302.0,2.8514048868418866,5.0,10700.0,-17904186.40888101,1297.276565016639,18742659.96130597
303.0,1.7166532208192509,5.0,10700.0,-4078842.445634192,1127.5277193259853,18742659.96130597
304.0,0.0932358681232559,5.0,10700.0,15695029.325552627,870.0942987116605,18742659.96130597
305.0,1.3976284893017814,5.0,10700.0,-198056.21875161305,1073.326839939468,18742659.96130597
306.0,2.2125603917279433,5.0,10700.0,-10124601.184982035,1200.22060586972,18742659.96130597
307.0,2.255435748100232,5.0,10700.0,-10646989.704437194,1204.0610846641046,18742659.96130597
308.0,1.3288172185080116,5.0,10700.0,637387.5059272517,1061.237790915077,18742659.96130597
309.0,1.9013952752035772,5.0,10700.0,-6344925.647947654,1150.0672980607067,18742659.96130597
310.0,-0.052085037769065146,5.0,10700.0,17446040.85910959,853.1403385969047,18742659.96130597
311.0,1.3339071484013063,5.0,10700.0,555528.8164457148,1061.9968712072057,18742659.96130597
312.0,1.4770165233918169,5.0,10700.0,-1188704.0368659543,1083.2347328376266,18742659.96130597
313.0,1.0421132185943707,5.0,10700.0,4109608.424099284,1021.6956228501131,18742659.96130597
314.0,1.9631240144372937,5.0,10700.0,-7109937.023458928,1162.9181436352092,18742659.96130597
315.0,1.692697969238302,5.0,10700.0,-3814903.624460212,1115.2285362254036,18742659.96130597
316.0,1.4544887010341734,5.0,10700.0,-914661.4921322344,1082.8601622091744,18742659.96130597
317.0,2.267817758492513,5.0,10700.0,-10826183.750876753,1208.8626529983865,18742659.96130597
318.0,2.6972039893669093,5.0,10650.0,-15924137.57972069,1270.5962227096582,18712659.96130597
319.0,1.7252092683136118,5.0,10650.0,-4111605.870602782,1126.4295872401663,18712659.96130597
320.0,1.669177482662831,5.0,10650.0,-3444067.901499804,1113.7079618258686,18712659.96130597
321.0,1.768940000582016,5.0,10650.0,-4672567.511567886,1126.261769225552,18712659.96130597
322.0,1.3832430652234473,5.0,10650.0,3058.9470671340823,1070.934593517495,18712659.96130597
323.0,2.0017466969421145,5.0,10650.0,-7535418.081158866,1164.7714971422222,18712659.96130597
324.0,1.5443971720350342,5.0,10650.0,-1988104.0430365447,1091.8800733641317,18712659.96130597
325.0,2.157609282525864,5.0,10600.0,-9335108.713609496,1188.19655256064,18682659.96130597
326.0,1.0080428066036395,5.0,10600.0,4608462.296202074,1017.994443320404,18682659.96130597
327.0,1.4942669603801582,5.0,10600.0,-1312283.19915843,1091.7610771076868,18682659.96130597
328.0,0.8079338612483005,5.0,10600.0,7008251.894990276,979.3282501461965,18682659.96130597
329.0,-0.5746838483596006,5.0,10600.0,23786889.902776167,769.5377031865612,18682659.96130597
330.0,0.8995164816691235,5.0,10600.0,5880629.896963524,999.9584610287644,18682659.96130597
331.0,1.1541153067946235,5.0,10550.0,2900947.78113548,1040.4336376643926,18652659.96130597
332.0,1.5582131367387122,5.0,10550.0,-1990813.4100714456,1093.813073072263,18652659.96130597
333.0,3.016799413765356,5.0,10550.0,-19666995.11596896,1322.3949816517782,18652659.96130597
334.0,2.470374407864175,5.0,10550.0,-13038806.03326665,1239.2920173478628,18652659.96130597
335.0,1.5472297982099183,5.0,10550.0,-1850824.1648458363,1092.0195319101208,18652659.96130597
336.0,2.0436369013909674,5.0,10500.0,-7753377.222230594,1170.3154230420992,18622659.96130597
337.0,0.36042897020318687,5.0,10500.0,12611410.75963971,913.3576318494335,18622659.96130597
338.0,1.910667068268439,5.0,10500.0,-6162671.982969271,1149.2183635784538,18622659.96130597
339.0,2.3893977701765623,5.0,10500.0,-11964222.381359562,1226.6935188810987,18622659.96130597
340.0,0.5234314323487732,5.0,10500.0,10613616.977758864,937.854450768205,18622659.96130597
341.0,2.9756927816609986,5.0,10450.0,-18937617.076375954,1312.3962685098415,18592659.96130597
342.0,1.8101000331218193,5.0,10450.0,-4860553.446735112,1132.4791324803286,18592659.96130597
343.0,0.49163610026800075,5.0,10450.0,11060059.186362,933.799481004057,18592659.96130597
344.0,1.3497170373515344,5.0,10450.0,678194.5402190294,1070.5040830864632,18592659.96130597
345.0,2.1698108188885756,5.0,10400.0,-9115954.455103042,1193.6599679403243,18562659.96130597
346.0,0.581367512984678,5.0,10400.0,10041588.95642981,945.8226584675997,18562659.96130597
347.0,1.5376455912347167,5.0,10400.0,-1503896.5686659506,1092.0700142346968,18562659.96130597
348.0,1.8812417867944307,5.0,10400.0,-5654309.699013721,1148.8296508464655,18562659.96130597
349.0,2.159908529851724,5.0,10350.0,-8897961.745908715,1188.2879921425192,18532659.96130597
350.0,2.900626307034895,5.0,10350.0,-17827929.571618512,1305.604847672449,18532659.96130597
351.0,0.9504011787171942,5.0,10350.0,5653072.54824737,1003.3578289536609,18532659.96130597
352.0,2.0094294145835567,5.0,10350.0,-7118333.580896041,1163.6465832778429,18532659.96130597
353.0,0.5885840879900419,5.0,10300.0,10075794.48002899,946.8842391081841,18502659.96130597
354.0,1.7362796471978337,5.0,10300.0,-3739004.3503851686,1125.4037848237306,18502659.96130597
355.0,1.0498059715288948,5.0,10300.0,4507824.310059146,1016.7003271646034,18502659.96130597
356.0,2.096623084546118,5.0,10300.0,-8089773.2146428395,1180.4481475913494,18502659.96130597
357.0,2.4749284802143565,5.0,10250.0,-12519516.330785396,1237.4926681167547,18472659.96130597
358.0,1.3054666898434801,5.0,10250.0,1512355.4460489368,1057.7272827217373,18472659.96130597
359.0,1.4624032344949898,5.0,10250.0,-383876.9079119917,1079.4272870629875,18472659.96130597
360.0,1.9560049302800193,5.0,10250.0,-6321648.524860846,1159.513014146792,18472659.96130597
361.0,2.360197018969669,5.0,10200.0,-11062293.679144435,1219.5588035851001,18442659.96130597
362.0,1.5167964564432728,5.0,10200.0,-964991.3112375513,1089.8478221561604,18442659.96130597
363.0,-0.2663454501744207,5.0,10200.0,20396131.375078455,809.9676393562603,18442659.96130597
364.0,0.9688350772889907,5.0,10200.0,5578843.836145125,1002.9996345599427,18442659.96130597
365.0,0.6645707098373661,5.0,10200.0,9222731.527041748,962.5488063154141,18442659.96130597
366.0,1.9502990932345066,5.0,10150.0,-6074436.151453538,1160.7876451812735,18412659.96130597
